time,lat,lon,PM25_concentration,PM10_concentration,O3_concentration,NO2_concentration,SO2_concentration,CO_concentration
2026-06-09 12:00:00,28.0,-134.75,14.33703999964565,24.523657771169397,0.035205929588033605,0.023944769457802034,0.07364142027553194,0.1015541422149485
2026-06-09 12:00:00,28.0,-134.5,14.561100769583398,24.846306345693858,0.03546675187924287,0.024264905970109375,0.07782805699427055,0.10195875256869068
2026-06-09 12:00:00,28.0,-134.25,14.529438097099497,24.72889626403684,0.03571032197011715,0.024325857725291028,0.08189573520655417,0.1019410045992084
2026-06-09 12:00:00,28.0,-134.0,14.32729312966785,24.31811374492554,0.035942390594101425,0.0242140196423889,0.0858841077478678,0.10164168441424319
2026-06-09 12:00:00,28.0,-133.75,14.150852045702326,23.957753114700616,0.03625230581947302,0.02420842773824379,0.08911857448034012,0.10086899932184915
2026-06-09 12:00:00,28.0,-133.5,13.94903215157229,23.553932138042924,0.03654226766123258,0.024211223690316343,0.09202678370565742,0.09980552085822791
2026-06-09 12:00:00,28.0,-133.25,13.709144042195486,23.084920641736083,0.03680229942757406,0.024226601426715386,0.09444560667024217,0.09830585233776588
2026-06-09 12:00:00,28.0,-133.0,13.632890372150543,22.902492347043342,0.03708279372913735,0.024311318774513747,0.09678130926069635,0.09697291406921499
2026-06-09 12:00:00,28.0,-132.75,13.64709634188442,22.874957039675767,0.037364998780109446,0.02447879630365966,0.09907163696092466,0.09573172446343574
2026-06-09 12:00:00,28.0,-132.5,13.859506431401751,23.180410479994837,0.03763358429349493,0.024907974946796575,0.10126358547438005,0.09469079925683199
2026-06-09 12:00:00,28.0,-132.25,14.197813147376296,23.695893247577192,0.037908062566827085,0.025429420008327732,0.10365700819405076,0.09381719945243046
2026-06-09 12:00:00,28.0,-132.0,14.62005094765568,24.351395566668472,0.03818646934679034,0.02601237601545507,0.10618474705119837,0.09305514991616372
2026-06-09 12:00:00,28.0,-131.75,14.6950354107389,24.40727087105187,0.038572218684818034,0.026433166802374345,0.10782657521412786,0.0922440372185566
2026-06-09 12:00:00,28.0,-131.5,14.728686714704512,24.400977238769897,0.0389856787331943,0.026803071261573153,0.10937082728568662,0.09157578998094237
2026-06-09 12:00:00,28.0,-131.25,14.700338279993735,24.30143020148991,0.03944070484709343,0.027096646229191237,0.11076871522018931,0.09112184093331764
2026-06-09 12:00:00,28.0,-131.0,15.080260595823264,24.90028983004309,0.03975149420538666,0.02742936452582506,0.11256855240350691,0.09083933925472579
